geo_id,geo_id_trim,county,total_pop,total_pop_U5,total_pop_U5_E,total_pop_5_9,total_pop_5_9_E,total_pop_10_14,total_pop_10_14_E,total_pop_15_19 ,total_pop_15_19 _E,total_pop_20_24,total_pop_20_24_E,total_pop_25_29,total_pop_25_29_E,total_pop_30_34,total_pop_30_34_E,total_pop_35_39,total_pop_35_39_E,total_pop_40_44,total_pop_40_44_E,total_pop_45_49,total_pop_45_49_E,total_pop_50_ 54,total_pop_50_ 54_E,total_pop_55_59,total_pop_55_59_E,total_pop_60_64,total_pop_60_64_E,total_pop_65_69,total_pop_65_69_E,total_pop_70_74,total_pop_70_74_E,total_pop_75_79,total_pop_75_79_E,total_pop_80_84,total_pop_80_84_E,total_pop_85,total_pop_85_E,total_pop_female,total_pop_female_E,female_pop_U5,female_pop_U5_E,female_pop_5_9,female_pop_5_9_E,female_pop_10_14,female_pop_10_14_E,female_pop_15_19 ,female_pop_15_19 _E,female_pop_20_24,female_pop_20_24_E,female_pop_25_29,female_pop_25_29_E,female_pop_30_34,female_pop_30_34_E,female_pop_35_39,female_pop_35_39_E,female_pop_40_44,female_pop_40_44_E,female_pop_45_49,female_pop_45_49_E,female_pop_50_ 54,female_pop_50_ 54_E,female_pop_55_59,female_pop_55_59_E,female_pop_60_64,female_pop_60_64_E,female_pop_65_69,female_pop_65_69_E,female_pop_70_74,female_pop_70_74_E,female_pop_75_79,female_pop_75_79_E,female_pop_80_84,female_pop_80_84_E,female_pop_85,female_pop_85_E
0500000US42045,42045,Delaware,566747,33523,219,32553,2144,36925,2197,39471,935,37899,1100,35838,688,37218,425,37718,2378,31877,2396,33609,603,36016,4,41136,2271,38347,2267,31487,1800,22432,1847,15101,1799,10565,1548,15032,2193,293830,373,16363,200,17507,1484,16553,1485,19070,700,19607,892,17426,618,18974,425,19090,1585,17078,1586,17194,115,18660,2,20625,1674,21421,1713,16645,1262,12639,1328,9460,1280,6511,1046,9007,1433
0500000US42049,42049,Erie,269728,14981,5,15838,1459,16080,1488,18567,765,17507,811,17135,878,17540,927,16321,1693,15272,1586,16047,891,16739,783,18501,1655,19405,1600,17531,1263,11144,1265,8786,984,5675,1006,6659,1030,137903,567,7747,152,7890,1004,7819,992,9376,463,9026,605,8190,524,8291,602,7768,1147,7745,1035,8593,761,8472,507,9433,1117,10044,1114,8948,914,5967,899,5233,686,3338,776,4023,737
0500000US42051,42051,Fayette,129274,6627,309,7105,855,6279,766,6883,467,6945,367,8374,480,7472,364,6960,906,7253,898,8372,251,9201,555,10176,954,10005,965,9005,968,6968,934,4848,821,2864,625,3937,763,65594,467,3499,405,3496,643,3116,611,3539,340,2985,59,3979,422,3403,258,2777,591,4130,654,4063,120,4796,502,5390,711,5169,686,4549,775,3726,762,2453,522,1847,496,2677,514
0500000US42055,42055,Franklin,155027,9126,906,9269,1263,10271,1402,9194,878,7678,963,8604,456,9186,670,9997,1473,9382,1268,10233,694,10048,572,9562,1301,11266,1274,8117,828,8820,944,6128,1148,4267,990,3879,999,78735,753,4455,718,4182,1007,5320,921,4324,406,3992,553,4441,402,4877,587,4843,911,4799,875,4928,328,4913,322,4801,829,5556,794,4025,676,4822,705,3306,889,2551,681,2600,750
0500000US42063,42063,Indiana,84073,3690,148,4630,722,4115,777,7129,404,7609,879,6138,957,4497,426,4223,712,4133,689,4397,64,5033,109,5150,698,6660,688,5671,634,3817,629,2824,554,2145,473,2212,543,42000,434,1785,146,2485,566,1808,537,3588,249,3196,855,3287,856,2150,250,2214,435,1815,404,2216,47,2465,31,2422,437,3503,413,3022,343,1817,349,1376,364,1442,433,1409,444
0500000US42069,42069,Lackawanna,209674,10970,7,11024,1205,13640,1166,12898,626,11170,574,13118,707,13862,642,12918,1733,11671,1626,12976,833,13001,453,14249,1215,15468,1306,13949,1070,10003,1153,8511,1041,4442,803,5804,1117,107970,595,5360,262,5051,827,6811,934,6686,523,5424,333,6582,494,7087,573,6511,1163,6004,1149,6330,451,6575,209,7292,985,8048,968,7231,755,5332,749,5210,873,2307,690,4129,822
0500000US42071,42071,Lancaster,545724,35323,387,35685,2883,35794,2664,35958,1176,33341,1504,37001,1075,35219,862,36725,3132,27144,2770,29230,1206,32480,888,35152,2045,36326,1884,31791,1728,22845,1632,18556,1727,11658,1701,15496,1802,279054,1012,17621,550,17505,1769,17120,1601,18658,1448,16421,1170,17928,700,17764,806,18872,2082,13349,2034,15091,759,16175,520,18079,1732,18811,1468,17402,1253,11225,1189,10341,1204,6579,1238,10113,1156
0500000US42073,42073,Lawrence,85512,4518,307,4187,637,5217,592,4992,244,4960,365,5015,379,4599,321,5489,666,3632,627,5241,338,5432,203,6385,818,6776,817,5723,659,4807,672,3211,668,2686,527,2642,530,43978,426,2329,247,2037,449,2708,421,2470,226,2247,95,2497,272,2161,183,2845,445,1664,397,2711,247,2638,47,3512,563,3267,514,3004,488,2634,472,1675,458,1934,418,1645,379
0500000US42075,42075,Lebanon,141793,7933,167,8544,1093,10039,1236,7850,823,9249,885,8831,1073,8387,769,6840,1446,9373,1352,9067,705,8586,662,10394,1076,9355,1075,7752,946,7196,994,5361,867,3384,700,3652,816,71959,856,3623,305,4379,762,4729,794,4303,725,4422,548,4125,553,4034,575,3006,717,5270,1053,4342,550,4460,600,5028,731,5212,770,4103,684,3611,692,3364,554,1708,456,2240,611
0500000US42077,42077,Lehigh,369318,21749,236,22705,1921,23962,1936,24461,875,23792,917,24575,953,23542,888,24471,2171,22695,2381,22337,831,23445,894,24764,1763,23822,1764,19632,1569,15969,1418,12367,1496,7299,1184,7731,1077,188463,595,10566,327,11001,1433,11514,1422,12774,756,11449,566,12008,566,11842,760,12286,1380,11424,1628,11327,567,11696,533,12656,1179,12374,1188,9390,1168,9365,1121,7238,1018,4450,970,5103,949
